gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2860161170	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92980913/original.jpeg?1598975296	https://www.inaturalist.org/photos/92980913					2019-06-03T00:00:00Z	caterpillarscount		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	caterpillarscount
2860160795	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92496018/original.jpg?1598733315	https://www.inaturalist.org/photos/92496018					2020-08-29T19:49:43Z	Douglas Wiebe		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Douglas Wiebe
2860160603	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92272050/original.jpg?1598622589	https://www.inaturalist.org/photos/92272050					2020-08-28T13:00:07Z	weberbirding		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	weberbirding
2860152087	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92838891/original.jpg?1598896473	https://www.inaturalist.org/photos/92838891					2020-08-31T17:51:29Z	Magdalena Nowicka		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Magdalena Nowicka
2860151946	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92665707/original.jpg?1598814425	https://www.inaturalist.org/photos/92665707					2020-08-30T16:26:17Z	kdstutzman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kdstutzman
2860147165	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92908273/original.jpg?1598923324	https://www.inaturalist.org/photos/92908273					2020-08-31T21:46:35Z	jhessler7		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jhessler7
2860146230	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93063327/original.jpg?1599010472	https://www.inaturalist.org/photos/93063327					2020-08-31T15:56:43Z	bhavindalal		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bhavindalal
2860134007	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92731366/original.jpg?1598833276	https://www.inaturalist.org/photos/92731366					2020-08-30T14:48:24Z	Andrew Conboy		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Andrew Conboy
2860133637	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92294831/original.jpeg?1598632663	https://www.inaturalist.org/photos/92294831					2020-08-28T19:01:28Z	clover110		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	clover110
2860132206	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92992554/original.jpeg?1598980061	https://www.inaturalist.org/photos/92992554					2020-09-01T17:06:48Z	narada22		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	narada22
2860130962	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92657930/original.jpeg?1598812188	https://www.inaturalist.org/photos/92657930					2020-08-30T18:29:29Z	jakevski		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jakevski
2860126635	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92249241/original.jpeg?1598604724	https://www.inaturalist.org/photos/92249241					2020-08-23T19:52:27Z	Maura		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Maura
2860126267	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93042758/original.jpg?1599000924	https://www.inaturalist.org/photos/93042758					2020-09-01T22:52:22Z	quiles_s		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	quiles_s
2860126267	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93042744/original.jpg?1599000919	https://www.inaturalist.org/photos/93042744					2020-09-01T22:52:22Z	quiles_s		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	quiles_s
2860120940	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92671763/original.jpg?1598816108	https://www.inaturalist.org/photos/92671763					2020-08-30T18:16:47Z	Eric Baratta		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Eric Baratta
2860120940	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92671741/original.jpg?1598816102	https://www.inaturalist.org/photos/92671741					2020-08-30T18:16:47Z	Eric Baratta		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Eric Baratta
2860117451	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93308160/original.jpg?1599162385	https://www.inaturalist.org/photos/93308160					2020-09-01T19:57:08Z	isabellaspanos		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	isabellaspanos
2860117451	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93308170/original.jpg?1599162389	https://www.inaturalist.org/photos/93308170					2020-09-01T19:57:08Z	isabellaspanos		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	isabellaspanos
2860110110	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92906977/original.jpeg?1598922675	https://www.inaturalist.org/photos/92906977					2020-08-31T20:40:16Z	komara		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	komara
2860106455	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93274615/original.jpg?1599148359	https://www.inaturalist.org/photos/93274615					2020-09-03T15:51:58Z	kh_williams4261		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kh_williams4261
